data,chengjiaojia
2016/1/4,3.87
2016/1/5,3.86
2016/1/6,3.89
2016/1/7,3.79
2016/1/8,3.8
2016/1/11,3.65
2016/1/12,3.63
2016/1/13,3.58
2016/1/14,3.59
2016/1/15,3.48
2016/1/18,3.46
2016/1/19,3.53
2016/1/20,3.47
2016/1/21,3.43
2016/1/22,3.45
2016/1/25,3.44
2016/1/26,3.24
2016/1/27,3.22
2016/1/28,3.16
2016/1/29,3.22
2016/2/1,3.17
2016/2/2,3.2
2016/2/3,3.17
2016/2/4,3.19
2016/2/5,3.18
2016/2/15,3.13
2016/2/16,3.23
2016/2/17,3.24
2016/2/18,3.23
2016/2/19,3.22
2016/2/22,3.29
2016/2/23,3.24
2016/2/24,3.24
2016/2/25,3.12
2016/2/26,3.15
2016/2/29,3.17
2016/3/1,3.2
2016/3/2,3.26
2016/3/3,3.28
2016/3/4,3.4
2016/3/7,3.39
2016/3/8,3.4
2016/3/9,3.43
2016/3/10,3.35
2016/3/11,3.4
2016/3/14,3.4
2016/3/15,3.38
2016/3/16,3.44
2016/3/17,3.43
2016/3/18,3.43
2016/3/21,3.43
2016/3/22,3.4
2016/3/23,3.39
2016/3/24,3.35
2016/3/25,3.36
2016/3/28,3.35
2016/3/29,3.34
2016/3/30,3.4
2016/3/31,3.4
2016/4/1,3.41
2016/4/5,3.43
2016/4/6,3.42
2016/4/7,3.38
2016/4/8,3.36
2016/4/11,3.39
2016/4/12,3.39
2016/4/13,3.42
2016/4/14,3.42
2016/4/15,3.42
2016/4/18,3.39
2016/4/19,3.38
2016/4/20,3.36
2016/4/21,3.34
2016/4/22,3.35
2016/4/25,3.35
2016/4/26,3.36
2016/4/27,3.35
2016/4/28,3.37
2016/4/29,3.35
2016/5/3,3.37
2016/5/4,3.37
2016/5/5,3.37
2016/5/6,3.33
2016/5/9,3.28
2016/5/10,3.27
2016/5/11,3.27
2016/5/12,3.25
2016/5/13,3.25
2016/5/16,3.25
2016/5/17,3.24
2016/5/18,3.24
2016/5/19,3.23
2016/5/20,3.24
2016/5/23,3.26
2016/5/24,3.24
2016/5/25,3.23
2016/5/26,3.23
2016/5/27,3.24
2016/5/30,3.27
2016/5/31,3.36
2016/6/1,3.34
2016/6/2,3.33
2016/6/3,3.34
2016/6/6,3.34
2016/6/7,3.35
2016/6/8,3.36
2016/6/13,3.3
2016/6/14,3.32
2016/6/15,3.32
2016/6/16,3.3
2016/6/17,3.31
2016/6/20,3.32
2016/6/21,3.34
2016/6/22,3.36
2016/6/23,3.37
2016/6/24,3.16
2016/6/27,3.18
2016/6/28,3.17
2016/6/29,3.19
2016/6/30,3.21
2016/7/1,3.22
2016/7/4,3.25
2016/7/5,3.25
2016/7/6,3.25
2016/7/7,3.26
2016/7/8,3.23
2016/7/11,3.25
2016/7/12,3.3
2016/7/13,3.34
2016/7/14,3.32
2016/7/15,3.33
2016/7/18,3.34
2016/7/19,3.32
2016/7/20,3.3
2016/7/21,3.3
2016/7/22,3.3
2016/7/25,3.33
2016/7/26,3.36
2016/7/27,3.34
2016/7/28,3.33
2016/7/29,3.34
2016/8/1,3.35
2016/8/2,3.36
2016/8/3,3.34
2016/8/4,3.32
2016/8/5,3.33
2016/8/8,3.34
2016/8/9,3.36
2016/8/10,3.35
2016/8/11,3.4
2016/8/12,3.5
2016/8/15,3.56
2016/8/16,3.45
2016/8/17,3.44
2016/8/18,3.42
2016/8/19,3.43
2016/8/22,3.45
2016/8/23,3.46
2016/8/24,3.46
2016/8/25,3.46
2016/8/26,3.45
2016/8/29,3.43
2016/8/30,3.45
2016/8/31,3.47
2016/9/6,3.46
2016/9/7,3.45
2016/9/8,3.45
2016/9/9,3.44
2016/9/12,3.38
2016/9/13,3.38
2016/9/14,3.34
2016/9/19,3.35
2016/9/20,3.34
2016/9/21,3.38
2016/9/22,3.39
2016/9/23,3.4
2016/9/26,3.37
2016/9/27,3.38
2016/9/28,3.36
2016/9/29,3.37
2016/9/30,3.37
2016/10/10,3.4
2016/10/11,3.4
2016/10/12,3.39
2016/10/13,3.38
2016/10/14,3.38
2016/10/17,3.36
2016/10/18,3.39
2016/10/19,3.38
2016/10/20,3.39
2016/10/21,3.4
2016/10/24,3.43
2016/10/25,3.44
2016/10/26,3.41
2016/10/27,3.39
2016/10/28,3.41
2016/10/31,3.39
2016/11/1,3.4
2016/11/2,3.38
2016/11/3,3.38
2016/11/4,3.37
2016/11/7,3.36
2016/11/8,3.38
2016/11/9,3.36
2016/11/10,3.38
2016/11/11,3.38
2016/11/14,3.4
2016/11/15,3.39
2016/11/16,3.39
2016/11/17,3.39
2016/11/18,3.38
2016/11/21,3.41
2016/11/22,3.43
2016/11/23,3.45
2016/11/24,3.45
2016/11/25,3.49
2016/11/28,3.54
2016/11/29,3.56
2016/11/30,3.51
2016/12/1,3.52
2016/12/2,3.51
2016/12/5,3.51
2016/12/6,3.5
2016/12/7,3.5
2016/12/8,3.52
2016/12/9,3.59
2016/12/12,3.64
2016/12/13,3.58
